#ID	A323-01	A323-02	A323-03	A323-04	A323-05	A323-06	A323-07	A323-08	A323-11	A323-12	A323-15	A323-16	A323-17	A323-18	A323-19	A323-22	A323-24	A323-28	A323-29	A323-34	A323-35	A323-37	A323-38	A323-39	A323-40	A323-41	A323-42	A323-43	A323-44	A323-45	A323-46	A323-47	A323-48	A323-49	A323-50
hsa-miR-4769-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.108385714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4770	0	0	0	0	0	0	0	0	3.269042171	0	0	0	0	0	0	0	0	0	0	0	0	0	2.534327466	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4772-3p	0	3.344537534	0	0	0	0	0	0	0	0	0	6.995355084	0	0	0	0	5.375592659	0	0	2.216771428	0	2.363803549	0	0	0	0	14.78431532	6.530825496	0	0	0	0	0	0	2.031599499
hsa-miR-4772-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68779633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.063198997
hsa-miR-4773	0	0	0	0	0	0	0	0	3.269042171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4775	0	3.344537534	0	2.834250213	0	0	0	0	0	0	0	4.663570056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22761478	0	0	0	0	0	0	2.534327466	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.909349992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4781-3p	0	0	0	0	0	0	0	0	1.634521085	0	0	0	0	0	0	0	0	0	0	1.108385714	2.275054033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4783-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	0
